Pubchem ID, InChi, InChiKey, Canonical Smiles, Isomeric Smiles
89675,InChI=1S/C3H8N2O/c1-5-3(6)2-4/h2_4H2_1H3_(H_5_6),UUYDPHCMCYSNAY-UHFFFAOYSA-N,CNC(=O)CN,CNC(=O)CN
90908,InChI=1S/C5H11NO/c7-4-5-2-1-3-6-5/h5-7H_1-4H2,HVVNJUAVDAZWCB-UHFFFAOYSA-N,C1CC(NC1)CO,C1CC(NC1)CO
91202,InChI=1S/C6H15NO/c1-3-5(2)6(7)4-8/h5-6_8H_3-4_7H2_1-2H3,VTQHAQXFSHDMHT-UHFFFAOYSA-N,CCC(C)C(CO)N,CCC(C)C(CO)N
92904,InChI=1S/C11H11NO3/c13-10(11(14)15)5-7-6-12-9-4-2-1-3-8(7)9/h1-4_6_10_12-13H_5H2_(H_14_15),XGILAAMKEQUXLS-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O
94239,InChI=1S/C6H11NO2/c1-9-6(8)5-3-2-4-7-5/h5_7H_2-4H2_1H3,BLWYXBNNBYXPPL-UHFFFAOYSA-N,COC(=O)C1CCCN1,COC(=O)C1CCCN1
95201,InChI=1S/C5H6N6O/c6-4-8-1-2(9-4)10-5(7)11-3(1)12/h(H6_6_7_8_9_10_11_12),WYDKPTZGVLTYPG-UHFFFAOYSA-N,C12=C(NC(=NC1=O)N)N=C(N2)N,C12=C(NC(=NC1=O)N)N=C(N2)N
96821,InChI=1S/C6H12N2O4/c1-3(7)5(10)8-4(2-9)6(11)12/h3-4_9H_2_7H2_1H3_(H_8_10)(H_11_12),IPWKGIFRRBGCJO-UHFFFAOYSA-N,CC(C(=O)NC(CO)C(=O)O)N,CC(C(=O)NC(CO)C(=O)O)N
97118,InChI=1S/C10H13NO3/c1-14-8-4-2-7(3-5-8)6-9(11)10(12)13/h2-5_9H_6_11H2_1H3_(H_12_13),GEYBMYRBIABFTA-UHFFFAOYSA-N,COC1=CC=C(C=C1)CC(C(=O)O)N,COC1=CC=C(C=C1)CC(C(=O)O)N
97436,InChI=1S/C3H9NS/c4-2-1-3-5/h5H_1-4H2,IYGAMTQMILRCCI-UHFFFAOYSA-N,C(CN)CS,C(CN)CS
98207,InChI=1S/C11H14N2O3/c12-9(11(16)13-7-10(14)15)6-8-4-2-1-3-5-8/h1-5_9H_6-7_12H2_(H_13_16)(H_14_15),GLUBLISJVJFHQS-UHFFFAOYSA-N,C1=CC=C(C=C1)CC(C(=O)NCC(=O)O)N,C1=CC=C(C=C1)CC(C(=O)NCC(=O)O)N
98509,InChI=1S/C8H16N2O3S/c1-5(9)7(11)10-6(8(12)13)3-4-14-2/h5-6H_3-4_9H2_1-2H3_(H_10_11)(H_12_13),FSHURBQASBLAPO-UHFFFAOYSA-N,CC(C(=O)NC(CCSC)C(=O)O)N,CC(C(=O)NC(CCSC)C(=O)O)N
98626,InChI=1S/C8H7NO4/c1-13-8(12)6-5(7(10)11)3-2-4-9-6/h2-4H_1H3_(H_10_11),OSSIORZYXTUXBL-UHFFFAOYSA-N,COC(=O)C1=C(C=CC=N1)C(=O)O,COC(=O)C1=C(C=CC=N1)C(=O)O
99058,InChI=1S/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12_13)14/h1_3-6_8-11H_2H2_(H2_12_13_14),VFRROHXSMXFLSN-UHFFFAOYSA-N,C(C(C(C(C(C=O)O)O)O)O)OP(=O)(O)O,C(C(C(C(C(C=O)O)O)O)O)OP(=O)(O)O
99823,InChI=1S/C5H10O3/c1-3(2)4(6)5(7)8/h3-4_6H_1-2H3_(H_7_8),NGEWQZIDQIYUNV-UHFFFAOYSA-N,CC(C)C(C(=O)O)O,CC(C)C(C(=O)O)O
100098,InChI=1S/C8H14N2O5/c1-4(8(14)15)10-7(13)5(9)2-3-6(11)12/h4-5H_2-3_9H2_1H3_(H_10_13)(H_11_12)(H_14_15),JZDHUJAFXGNDSB-UHFFFAOYSA-N,CC(C(=O)O)NC(=O)C(CCC(=O)O)N,CC(C(=O)O)NC(=O)C(CCC(=O)O)N
